experiment_accession,experiment_alias,title,study_accession,design_description,sample_accession,library_strategy,library_layout,instrument_model,run_accession,total_spots,total_bases
SRX5535163,GSM3675103,"GSM3675103: RTX430 Roots, 105 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501007,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743091,7081847,715266547
SRX5535162,GSM3675102,"GSM3675102: RTX430 Roots, 105 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501006,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743090,24532178,2477749978
SRX5535161,GSM3675101,"GSM3675101: RTX430 Roots, 98 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501005,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743089,24963449,2521308349
SRX5535160,GSM3675100,"GSM3675100: RTX430 Roots, 91 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501004,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743088,16855190,1702374190
SRX5535159,GSM3675099,"GSM3675099: RTX430 Roots, 91 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501003,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743087,21920242,2213944442
SRX5535158,GSM3675098,"GSM3675098: RTX430 Roots, 91 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501001,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743086,22342458,2256588258
SRX5535157,GSM3675097,"GSM3675097: RTX430 Roots, 84 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501002,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743085,31774050,3209179050
SRX5535156,GSM3675096,"GSM3675096: RTX430 Roots, 84 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501000,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR8743084,24933339,7529868378
SRX5535155,GSM3675095,"GSM3675095: RTX430 Roots, 84 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500999,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743083,29031009,2932131909
SRX5535154,GSM3675094,"GSM3675094: RTX430 Roots, 77 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500998,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743082,18831499,1901981399
SRX5535153,GSM3675093,"GSM3675093: RTX430 Roots, 77 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500997,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743081,27810779,2808888679
SRX5535152,GSM3675092,"GSM3675092: RTX430 Roots, 77 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500996,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743080,27004542,2727458742
SRX5535151,GSM3675091,"GSM3675091: RTX430 Roots, 70 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500994,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743079,20641795,2084821295
SRX5535150,GSM3675090,"GSM3675090: RTX430 Roots, 70 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500995,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743078,24957478,2520705278
SRX5535149,GSM3675089,"GSM3675089: RTX430 Roots, 70 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500993,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743077,27662602,2793922802
SRX5535148,GSM3675088,"GSM3675088: RTX430 Roots, 63 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500992,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743076,18703820,1889085820
SRX5535147,GSM3675087,"GSM3675087: RTX430 Roots, 63 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500991,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743075,24604108,2485014908
SRX5535146,GSM3675086,"GSM3675086: RTX430 Roots, 63 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500990,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743074,24798300,2504628300
SRX5535145,GSM3675085,"GSM3675085: RTX430 Roots, 56 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500989,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743073,23208484,2344056884
SRX5535144,GSM3675084,"GSM3675084: RTX430 Roots, 56 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500988,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743072,32460448,3278505248
SRX5535143,GSM3675083,"GSM3675083: RTX430 Roots, 56 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500987,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743071,28883139,2917197039
SRX5535142,GSM3675082,"GSM3675082: RTX430 Roots, 49 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500986,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743070,20878090,2108687090
SRX5535141,GSM3675081,"GSM3675081: RTX430 Roots, 42 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500985,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743069,18759811,1894740911
SRX5535140,GSM3675080,"GSM3675080: RTX430 Roots, 42 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500984,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743068,16623496,1678973096
SRX5535139,GSM3675079,"GSM3675079: RTX430 Roots, 42 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500983,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743067,14849102,1499759302
SRX5535138,GSM3675078,"GSM3675078: RTX430 Roots, 35 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500982,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743066,18570206,1875590806
SRX5535137,GSM3675077,"GSM3675077: RTX430 Roots, 35 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500981,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743065,31495320,3181027320
SRX5535136,GSM3675076,"GSM3675076: RTX430 Roots, 35 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500980,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743064,28694849,2898179749
SRX5535135,GSM3675075,"GSM3675075: RTX430 Roots, 28 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500979,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743063,21324741,2153798841
SRX5535134,GSM3675074,"GSM3675074: RTX430 Roots, 28 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500977,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743062,25309295,2556238795
SRX5535133,GSM3675073,"GSM3675073: RTX430 Roots, 28 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500978,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743061,11550196,1166569796
SRX5535132,GSM3675072,"GSM3675072: RTX430 Roots, 21 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500976,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743060,21999737,2221973437
SRX5535131,GSM3675071,"GSM3675071: RTX430 Roots, 21 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500975,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743059,19563719,1975935619
SRX5535130,GSM3675070,"GSM3675070: RTX430 Roots, 21 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500974,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743058,18826919,1901518819
SRX5535089,GSM3675029,"GSM3675029: BTX642 Leaves, 119 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500933,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743017,17295158,1746810958
SRX5535088,GSM3675028,"GSM3675028: BTX642 Leaves, 119 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500932,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743016,19274704,1946745104
SRX5535087,GSM3675027,"GSM3675027: BTX642 Leaves, 119 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500931,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743015,21124924,2133617324
SRX5535086,GSM3675026,"GSM3675026: BTX642 Leaves, 112 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500930,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743014,24155995,2439755495
SRX5535085,GSM3675025,"GSM3675025: BTX642 Leaves, 105 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500929,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743013,22151762,2237327962
SRX5535084,GSM3675024,"GSM3675024: BTX642 Leaves, 105 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500928,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743012,14569551,1471524651
SRX5535083,GSM3675023,"GSM3675023: BTX642 Leaves, 105 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500927,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743011,22310109,2253321009
SRX5535082,GSM3675022,"GSM3675022: BTX642 Leaves, 98 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500926,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743010,27519052,2779424252
SRX5535081,GSM3675021,"GSM3675021: BTX642 Leaves, 91 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500925,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743009,23340717,2357412417
SRX5535080,GSM3675020,"GSM3675020: BTX642 Leaves, 91 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500924,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743008,18077361,1825813461
SRX5535079,GSM3675019,"GSM3675019: BTX642 Leaves, 91 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500923,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743007,18083976,1826481576
SRX5535078,GSM3675018,"GSM3675018: BTX642 Leaves, 84 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500922,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743006,24342665,2458609165
SRX5535077,GSM3675017,"GSM3675017: BTX642 Leaves, 77 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500921,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743005,19164747,1935639447
SRX5535076,GSM3675016,"GSM3675016: BTX642 Leaves, 77 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500920,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743004,24474224,2471896624
SRX5535075,GSM3675015,"GSM3675015: BTX642 Leaves, 77 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500919,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743003,27862798,2814142598
SRX5535074,GSM3675014,"GSM3675014: BTX642 Leaves, 70 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500918,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743002,20183129,2038496029
SRX5535073,GSM3675013,"GSM3675013: BTX642 Leaves, 70 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500917,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743001,16539431,1670482531
SRX5535072,GSM3675012,"GSM3675012: BTX642 Leaves, 70 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500916,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743000,23095888,2332684688
SRX5535071,GSM3675011,"GSM3675011: BTX642 Leaves, 63 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500915,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742999,21994045,2221398545
SRX5535070,GSM3675010,"GSM3675010: BTX642 Leaves, 63 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500914,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742998,27245564,2751801964
SRX5535069,GSM3675009,"GSM3675009: BTX642 Leaves, 63 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500912,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742997,16555225,1672077725
SRX5535068,GSM3675008,"GSM3675008: BTX642 Leaves, 119 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500913,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742996,18234898,1841724698
SRX5535067,GSM3675007,"GSM3675007: BTX642 Leaves, 119 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500911,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742995,19930581,2012988681
SRX5535066,GSM3675006,"GSM3675006: BTX642 Leaves, 119 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500910,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742994,27208454,2748053854
SRX5535065,GSM3675005,"GSM3675005: BTX642 Leaves, 112 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500909,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742993,10842467,1095089167
SRX5535064,GSM3675004,"GSM3675004: BTX642 Leaves, 105 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500908,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742992,14234889,1437723789
SRX5535063,GSM3675003,"GSM3675003: BTX642 Leaves, 105 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500907,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742991,22148490,2236997490
SRX5535062,GSM3675002,"GSM3675002: BTX642 Leaves, 105 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500906,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742990,24807108,2505517908
SRX5535061,GSM3675001,"GSM3675001: BTX642 Leaves, 98 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500905,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742989,19301993,1949501293
SRX5535060,GSM3675000,"GSM3675000: BTX642 Leaves, 91 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500904,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742988,17540279,1771568179
SRX5535059,GSM3674999,"GSM3674999: BTX642 Leaves, 91 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500903,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742987,20782620,2099044620
SRX5535058,GSM3674998,"GSM3674998: BTX642 Leaves, 91 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500902,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742986,16631530,1679784530
SRX5535057,GSM3674997,"GSM3674997: BTX642 Leaves, 84 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500901,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742985,25896959,2615592859
SRX5535056,GSM3674996,"GSM3674996: BTX642 Leaves, 84 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500900,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742984,23448538,2368302338
SRX5535055,GSM3674995,"GSM3674995: BTX642 Leaves, 84 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500899,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742983,23945708,2418516508
SRX5535054,GSM3674994,"GSM3674994: BTX642 Leaves, 77 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500898,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742982,22187273,2240914573
SRX5535053,GSM3674993,"GSM3674993: BTX642 Leaves, 77 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500897,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742981,15840969,1599937869
SRX5535052,GSM3674992,"GSM3674992: BTX642 Leaves, 77 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500896,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742980,22597188,2282315988
SRX5535051,GSM3674991,"GSM3674991: BTX642 Leaves, 70 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500895,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742979,17631542,1780785742
SRX5535050,GSM3674990,"GSM3674990: BTX642 Leaves, 70 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500894,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742978,20955749,2116530649
SRX5535049,GSM3674989,"GSM3674989: BTX642 Leaves, 70 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500893,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742977,28569279,2885497179
SRX5535048,GSM3674988,"GSM3674988: BTX642 Leaves, 63 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500891,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742976,21826077,2204433777
SRX5535047,GSM3674987,"GSM3674987: BTX642 Leaves, 63 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500892,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742975,23203135,2343516635
SRX5535046,GSM3674986,"GSM3674986: BTX642 Leaves, 63 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500890,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742974,23824335,2406257835
SRX5535045,GSM3674985,"GSM3674985: BTX642 Leaves, 56 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500889,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742973,18017549,1819772449
SRX5535044,GSM3674984,"GSM3674984: BTX642 Leaves, 56 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500888,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742972,24002315,2424233815
SRX5535043,GSM3674983,"GSM3674983: BTX642 Leaves, 56 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500886,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742971,25553936,2580947536
SRX5535042,GSM3674982,"GSM3674982: BTX642 Leaves, 49 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500887,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742970,21380425,2159422925
SRX5535041,GSM3674981,"GSM3674981: BTX642 Leaves, 42 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500885,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742969,18938320,1912770320
SRX5535040,GSM3674980,"GSM3674980: BTX642 Leaves, 42 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500884,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742968,20276723,2047949023
SRX5535039,GSM3674979,"GSM3674979: BTX642 Leaves, 42 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500883,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742967,19845234,2004368634
SRX5535038,GSM3674978,"GSM3674978: BTX642 Leaves, 35 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500882,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742966,22270930,2249363930
SRX5535037,GSM3674977,"GSM3674977: BTX642 Leaves, 35 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500881,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742965,24687569,2493444469
SRX5535036,GSM3674976,"GSM3674976: BTX642 Leaves, 35 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500880,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742964,18603903,1878994203
SRX5535035,GSM3674975,"GSM3674975: BTX642 Leaves, 28 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500879,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742963,21377094,2159086494
SRX5535034,GSM3674974,"GSM3674974: BTX642 Leaves, 28 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500878,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742962,21893713,2211265013
SRX5535033,GSM3674973,"GSM3674973: BTX642 Leaves, 28 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500877,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742961,26511048,2677615848
SRX5535032,GSM3674972,"GSM3674972: BTX642 Leaves, 21 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500876,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742960,20128358,2032964158
SRX5535031,GSM3674971,"GSM3674971: BTX642 Leaves, 21 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500875,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742959,19668027,1986470727
SRX5535030,GSM3674970,"GSM3674970: BTX642 Leaves, 21 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500873,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742958,22713590,2294072590
SRX5534988,GSM3674928,"GSM3674928: RTX430 Leaves, 119 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500832,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742916,18351097,1853460797
SRX5534987,GSM3674927,"GSM3674927: RTX430 Leaves, 119 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500831,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742915,22545395,2277084895
SRX5534986,GSM3674926,"GSM3674926: RTX430 Leaves, 119 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500830,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR8742914,27502655,8305801810
SRX5534985,GSM3674925,"GSM3674925: RTX430 Leaves, 105 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500829,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742913,18812680,1900080680
SRX5534984,GSM3674924,"GSM3674924: RTX430 Leaves, 105 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500828,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742912,15176795,1532856295
SRX5534983,GSM3674923,"GSM3674923: RTX430 Leaves, 105 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500827,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742911,17333705,1750704205
SRX5534982,GSM3674922,"GSM3674922: RTX430 Leaves, 98 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500826,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742910,23532389,2376771289
SRX5534981,GSM3674921,"GSM3674921: RTX430 Leaves, 91 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500825,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742909,19975374,2017512774
SRX5534980,GSM3674920,"GSM3674920: RTX430 Leaves, 91 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500824,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742908,19127469,1931874369
SRX5534979,GSM3674919,"GSM3674919: RTX430 Leaves, 91 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500823,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742907,23080362,2331116562
SRX5534978,GSM3674918,"GSM3674918: RTX430 Leaves, 84 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500822,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742906,15307812,1546089012
SRX5534977,GSM3674917,"GSM3674917: RTX430 Leaves, 77 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500821,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742905,14680194,1482699594
SRX5534976,GSM3674916,"GSM3674916: RTX430 Leaves, 77 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500820,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742904,22924866,2315411466
SRX5534975,GSM3674915,"GSM3674915: RTX430 Leaves, 77 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500819,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742903,20350131,2055363231
SRX5534974,GSM3674914,"GSM3674914: RTX430 Leaves, 70 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4500818,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8742902,18433190,1861752190
